Instance,Solution,Run,Time,Value
chao_11.40b,R,8,1712,851.724
chao_11.40b,R,9,1732,781.287
chao_11.40b,R,10,1723,813.83
chao_11.40c,B,1,1366,877.77
chao_11.40c,B,2,1368,893.233
chao_11.40c,B,3,1357,886.953
chao_11.40c,B,4,1381,852.839
chao_11.40c,B,5,1351,897.134
chao_11.40c,B,6,1359,855.265
chao_11.40c,B,7,1421,876.089
chao_11.40c,B,8,1441,868.473
chao_11.40c,B,9,1388,850.137
chao_11.40c,B,10,1424,902.415
chao_11.40c,C,1,1538,840.93
chao_11.40c,C,2,1504,858.67
chao_11.40c,C,3,1523,869.84
chao_11.40c,C,4,1552,835.06
chao_11.40c,C,5,1590,861.795
chao_11.40c,C,6,1541,875.478
chao_11.40c,C,7,1533,849.684
chao_11.40c,C,8,1557,858.664
chao_11.40c,C,9,1494,858.025
chao_11.40c,C,10,1494,855.979
chao_11.40c,R,1,1333,914.855
chao_11.40c,R,2,1323,903.144
chao_11.40c,R,3,1379,910.183
chao_11.40c,R,4,1308,894.907
chao_11.40c,R,5,1289,899.131
chao_11.40c,R,6,1308,849.408
chao_11.40c,R,7,1339,908.1
chao_11.40c,R,8,1319,879.1
chao_11.40c,R,9,1309,946.138
chao_11.40c,R,10,1297,919.147
chao_12.25,B,1,768,579.327
chao_12.25,B,2,749,554.896
chao_12.25,B,3,787,604.543
chao_12.25,B,4,776,553.786
chao_12.25,B,5,766,602.945
chao_12.25,B,6,764,584.268
chao_12.25,B,7,758,556.933
chao_12.25,B,8,765,566.873
chao_12.25,B,9,743,584.096
chao_12.25,B,10,763,586.463
chao_12.25,C,1,775,620.386
chao_12.25,C,2,765,578.623
chao_12.25,C,3,772,596.703
chao_12.25,C,4,771,567.848
chao_12.25,C,5,784,604.462
chao_12.25,C,6,776,598.055
chao_12.25,C,7,783,600.334
chao_12.25,C,8,768,561.76
chao_12.25,C,9,774,601.225
chao_12.25,C,10,781,575.166
chao_12.25,R,1,747,587.907
chao_12.25,R,2,750,612.562
chao_12.25,R,3,739,589.942
chao_12.25,R,4,743,630.075
chao_12.25,R,5,738,582.784
chao_12.25,R,6,736,628.3
chao_12.25,R,7,736,583.354
chao_12.25,R,8,737,626.328
chao_12.25,R,9,756,604.182
chao_12.25,R,10,745,586.308
chao_12.30a,B,1,1046,673.559
chao_12.30a,B,2,1061,700.176
chao_12.30a,B,3,1047,677.666
chao_12.30a,B,4,1046,709.607
chao_12.30a,B,5,1038,695.892
chao_12.30a,B,6,1065,707.987
chao_12.30a,B,7,1040,663.44
chao_12.30a,B,8,1047,718.849
chao_12.30a,B,9,1052,707.223
chao_12.30a,B,10,1073,682.208
chao_12.30a,C,1,1085,715.771
chao_12.30a,C,2,1109,732.348
chao_12.30a,C,3,1084,725.683
chao_12.30a,C,4,1077,700.64
chao_12.30a,C,5,1085,736.033
chao_12.30a,C,6,1093,687.746
chao_12.30a,C,7,1071,722.476
chao_12.30a,C,8,1083,691.668
chao_12.30a,C,9,1081,722.472
chao_12.30a,C,10,1097,722.062
chao_12.30a,R,1,1056,749.48
chao_12.30a,R,2,1053,745.936
chao_12.30a,R,3,1075,759.678
chao_12.30a,R,4,1069,715.491
chao_12.30a,R,5,1062,749.71
chao_12.30a,R,6,1055,751.906
chao_12.30a,R,7,1056,726.363
chao_12.30a,R,8,1071,712.792
chao_12.30a,R,9,1060,732.519
chao_12.30a,R,10,1078,767.337
chao_12.30b,B,1,1084,580.755
chao_12.30b,B,2,1063,622.474
chao_12.30b,B,3,1074,583.667
chao_12.30b,B,4,1075,583.807
chao_12.30b,B,5,1219,618.486
chao_12.30b,B,6,1230,582.183
chao_12.30b,B,7,1103,539.176
chao_12.30b,B,8,1105,572.431
chao_12.30b,B,9,1064,614.188
chao_12.30b,B,10,1118,613.072
chao_12.30b,C,1,1228,647.234
chao_12.30b,C,2,1227,651.154
chao_12.30b,C,3,1104,648.664
chao_12.30b,C,4,1119,624.9
chao_12.30b,C,5,1101,657.497
chao_12.30b,C,6,1108,649.425
chao_12.30b,C,7,1115,657.219
chao_12.30b,C,8,1128,656.905
chao_12.30b,C,9,1178,621.483
chao_12.30b,C,10,1188,629.151
chao_12.30b,R,1,1111,665.686
chao_12.30b,R,2,1072,656.604
chao_12.30b,R,3,1071,628.558
chao_12.30b,R,4,1113,668.065
chao_12.30b,R,5,1041,655.179
chao_12.30b,R,6,1106,667.137
chao_12.30b,R,7,1088,667.565
chao_12.30b,R,8,1858,626.195
chao_12.30b,R,9,1081,605.945
chao_12.30b,R,10,1076,684.048
chao_12.30c,B,1,868,707.661
chao_12.30c,B,2,874,736.639
chao_12.30c,B,3,898,675.436
chao_12.30c,B,4,857,703.841
chao_12.30c,B,5,891,699.444
chao_12.30c,B,6,900,704.125
chao_12.30c,B,7,886,714.47
chao_12.30c,B,8,1509,708.021
chao_12.30c,B,9,2211,675.767
chao_12.30c,B,10,2383,716.557
chao_12.30c,C,1,2589,697.529
chao_12.30c,C,2,2613,684.968
chao_12.30c,C,3,2983,634.213
chao_12.30c,C,4,2635,691.339
chao_12.30c,C,5,2747,713.248
chao_12.30c,C,6,2681,709.855
chao_12.30c,C,7,2684,666.142
chao_12.30c,C,8,2762,699.269
chao_12.30c,C,9,5180,697.295
chao_12.30c,C,10,2955,670.462
chao_12.30c,R,1,2610,699.076
chao_12.30c,R,2,2566,746.405
chao_12.30c,R,3,1683,689.244
chao_12.30c,R,4,925,700.392
chao_12.30c,R,5,866,724.304
chao_12.30c,R,6,861,712.4
chao_12.30c,R,7,856,739.909
chao_12.30c,R,8,865,677.896
chao_12.30c,R,9,891,723.484
chao_12.30c,R,10,875,744.308
